Timestamp (UTC),Inverter Serial,Port Number,DC Power (W),DC Voltage (V),Daily Energy (Wh)
2026-09-13T17:00:00Z,1420b03145c2,1,93.0,43.0,99.0
2026-09-13T17:00:00Z,1420b03145c2,3,92.0,43.2,98.0
2026-09-13T17:00:00Z,1420b03145c2,4,89.0,43.2,96.0
2026-09-13T17:00:00Z,1420b0314618,1,104.0,43.0,113.0
2026-09-13T17:00:00Z,1420b0314618,2,102.0,42.9,111.0
2026-09-13T17:00:00Z,1420b0314618,3,104.0,43.1,112.0
2026-09-13T17:00:00Z,1420b0314618,4,104.0,43.1,112.0
2026-09-13T17:00:00Z,1420b03146bb,1,101.0,43.0,104.0
2026-09-13T17:00:00Z,1420b03146bb,2,98.0,43.0,102.0
2026-09-13T17:00:00Z,1420b03146bb,3,0.0,5.8,0.0
2026-09-13T17:00:00Z,1420b03146bb,4,100.0,43.1,104.0
2026-09-13T17:00:00Z,1420b03146fc,1,94.0,43.1,98.0
2026-09-13T17:00:00Z,1420b03146fc,2,92.0,43.1,95.0
2026-09-13T17:00:00Z,1420b03146fc,3,85.0,43.8,90.0
2026-09-13T17:00:00Z,1420b03146fc,4,83.0,43.2,88.0
2026-09-13T17:00:00Z,1420b0314cf5,1,98.0,43.2,99.0
2026-09-13T17:00:00Z,1420b0314cf5,2,96.0,43.1,98.0
2026-09-13T17:00:00Z,1420b0314cf5,3,98.0,43.1,99.0
2026-09-13T17:00:00Z,1420b0314cf5,4,97.0,43.0,98.0
2026-09-13T17:00:00Z,1420b0314d19,1,103.0,43.5,107.0
2026-09-13T17:00:00Z,1420b0314d19,2,101.0,43.4,106.0
2026-09-13T17:00:00Z,1420b0314d19,3,0.0,3.3,0.0
2026-09-13T17:00:00Z,1420b0314d19,4,0.0,3.4,0.0
2026-09-13T17:00:00Z,1420b0314d25,1,96.0,43.2,98.0
2026-09-13T17:00:00Z,1420b0314d25,2,94.0,43.2,97.0
2026-09-13T17:00:00Z,1420b0314d25,3,97.0,43.3,99.0
2026-09-13T17:00:00Z,1420b0314d25,4,96.0,43.0,97.0
2026-09-13T17:00:00Z,1420b0314df9,1,99.0,43.1,105.0
2026-09-13T17:00:00Z,1420b0314df9,2,96.0,43.1,102.0
2026-09-13T17:00:00Z,1420b0314df9,3,97.0,43.0,102.0
2026-09-13T17:00:00Z,1420b0314df9,4,95.0,43.2,100.0
2026-09-13T17:00:00Z,1420b0314f85,1,99.0,43.1,110.0
2026-09-13T17:00:00Z,1420b0314f85,2,98.0,43.0,108.0
2026-09-13T17:00:00Z,1420b0314f85,3,99.0,43.0,109.0
2026-09-13T17:00:00Z,1420b0314f85,4,99.0,43.2,109.0
2026-09-13T17:00:00Z,1420b03150a1,1,15.0,15.9,73.0
2026-09-13T17:00:00Z,1420b03150a1,2,122.0,49.1,66.0
2026-09-13T17:00:00Z,1420b03150a1,3,104.0,43.2,112.0
2026-09-13T17:00:00Z,1420b03150a1,4,104.0,43.2,113.0
2026-09-13T17:00:00Z,1420b0315189,1,103.0,43.2,113.0
2026-09-13T17:00:00Z,1420b0315189,2,102.0,43.1,112.0
2026-09-13T17:00:00Z,1420b0315189,3,103.0,43.0,112.0
2026-09-13T17:00:00Z,1420b0315189,4,104.0,43.2,113.0
2026-09-13T17:00:00Z,1420b03153ec,1,102.0,43.1,112.0
2026-09-13T17:00:00Z,1420b03153ec,2,102.0,43.2,113.0
2026-09-13T17:00:00Z,1420b03153ec,3,103.0,43.4,113.0
2026-09-13T17:00:00Z,1420b03153ec,4,103.0,43.2,113.0
2026-09-13T17:10:00Z,1420b03145c2,1,82.0,42.8,113.0
2026-09-13T17:10:00Z,1420b03145c2,3,81.0,42.9,112.0
2026-09-13T17:10:00Z,1420b03145c2,4,79.0,42.9,109.0
2026-09-13T17:10:00Z,1420b0314618,1,96.0,42.9,129.0
2026-09-13T17:10:00Z,1420b0314618,2,95.0,42.8,127.0
2026-09-13T17:10:00Z,1420b0314618,3,96.0,43.0,128.0
2026-09-13T17:10:00Z,1420b0314618,4,96.0,43.0,128.0
2026-09-13T17:10:00Z,1420b03146bb,1,89.0,42.8,119.0
2026-09-13T17:10:00Z,1420b03146bb,2,87.0,42.8,116.0
2026-09-13T17:10:00Z,1420b03146bb,3,0.0,6.0,0.0
2026-09-13T17:10:00Z,1420b03146bb,4,89.0,42.9,119.0
2026-09-13T17:10:00Z,1420b03146fc,1,82.0,42.9,112.0
2026-09-13T17:10:00Z,1420b03146fc,2,80.0,42.9,109.0
2026-09-13T17:10:00Z,1420b03146fc,3,75.0,43.7,103.0
2026-09-13T17:10:00Z,1420b03146fc,4,73.0,42.9,100.0
2026-09-13T17:10:00Z,1420b0314cf5,1,84.0,43.0,114.0
2026-09-13T17:10:00Z,1420b0314cf5,2,83.0,42.8,112.0
2026-09-13T17:10:00Z,1420b0314cf5,3,85.0,42.9,114.0
2026-09-13T17:10:00Z,1420b0314cf5,4,84.0,42.8,113.0
2026-09-13T17:10:00Z,1420b0314d19,1,91.0,43.3,123.0
2026-09-13T17:10:00Z,1420b0314d19,2,89.0,43.3,121.0
2026-09-13T17:10:00Z,1420b0314d19,3,0.0,2.9,0.0
2026-09-13T17:10:00Z,1420b0314d19,4,0.0,3.1,0.0
2026-09-13T17:10:00Z,1420b0314d25,1,83.0,42.9,112.0
2026-09-13T17:10:00Z,1420b0314d25,2,82.0,42.9,111.0
2026-09-13T17:10:00Z,1420b0314d25,3,84.0,43.0,113.0
2026-09-13T17:10:00Z,1420b0314d25,4,83.0,42.7,112.0
2026-09-13T17:10:00Z,1420b0314df9,1,88.0,43.0,120.0
2026-09-13T17:10:00Z,1420b0314df9,2,85.0,42.9,116.0
2026-09-13T17:10:00Z,1420b0314df9,3,86.0,42.8,117.0
2026-09-13T17:10:00Z,1420b0314df9,4,84.0,42.9,114.0
2026-09-13T17:10:00Z,1420b0314f85,1,93.0,42.9,125.0
2026-09-13T17:10:00Z,1420b0314f85,2,92.0,42.8,124.0
2026-09-13T17:10:00Z,1420b0314f85,3,93.0,42.9,125.0
2026-09-13T17:10:00Z,1420b0314f85,4,93.0,43.0,124.0
2026-09-13T17:10:00Z,1420b03150a1,1,13.0,15.9,75.0
2026-09-13T17:10:00Z,1420b03150a1,2,113.0,49.2,85.0
2026-09-13T17:10:00Z,1420b03150a1,3,96.0,43.1,128.0
2026-09-13T17:10:00Z,1420b03150a1,4,97.0,43.0,129.0
2026-09-13T17:10:00Z,1420b0315189,1,96.0,43.1,129.0
2026-09-13T17:10:00Z,1420b0315189,2,95.0,43.1,128.0
2026-09-13T17:10:00Z,1420b0315189,3,96.0,42.9,128.0
2026-09-13T17:10:00Z,1420b0315189,4,97.0,43.1,129.0
2026-09-13T17:10:00Z,1420b03153ec,1,95.0,43.0,128.0
2026-09-13T17:10:00Z,1420b03153ec,2,95.0,43.0,129.0
2026-09-13T17:10:00Z,1420b03153ec,3,96.0,43.2,129.0
2026-09-13T17:10:00Z,1420b03153ec,4,96.0,43.1,129.0
