Timestamp (UTC),Net Grid Power (W),Phase A Voltage (V),Hoymiles Active Power (W),Bridge Status,Meter Status,Hoymiles Status
2026-09-13T17:04:55.263407Z,0,,,HARDWARE_OFFLINE,HARDWARE_OFFLINE,HARDWARE_OFFLINE
2026-09-13T17:05:00.703948Z,4362,123.9,,DEGRADED,OK,HARDWARE_OFFLINE
2026-09-13T17:05:06.108526Z,4388,124.1,3319,OK,OK,OK
2026-09-13T17:05:11.497489Z,4339,124.3,3319,OK,OK,OK
2026-09-13T17:05:16.884742Z,4370,124.4,3556,OK,OK,OK
2026-09-13T17:05:22.256896Z,4397,124.3,3556,OK,OK,OK
2026-09-13T17:05:30.647540Z,4362,124.2,3958,OK,OK,OK
2026-09-13T17:05:36.062276Z,4369,124.3,3958,OK,OK,OK
2026-09-13T17:05:41.463993Z,4351,124.3,3958,OK,OK,OK
2026-09-13T17:05:46.855475Z,4367,124.1,3708,OK,OK,OK
2026-09-13T17:05:52.268073Z,4352,124.1,3708,OK,OK,OK
2026-09-13T17:05:57.660310Z,4330,124.0,3426,OK,OK,OK
2026-09-13T17:06:03.047722Z,4517,124.2,3426,OK,OK,OK
2026-09-13T17:06:08.466372Z,4455,124.3,3426,OK,OK,OK
2026-09-13T17:06:13.852932Z,4446,124.3,3140,OK,OK,OK
2026-09-13T17:06:19.235601Z,2999,124.6,3140,OK,OK,OK
2026-09-13T17:06:24.640496Z,2998,124.8,3553,OK,OK,OK
2026-09-13T17:06:30.032091Z,3004,124.7,3553,OK,OK,OK
2026-09-13T17:06:35.431483Z,2998,124.7,4274,OK,OK,OK
2026-09-13T17:06:40.818348Z,3009,124.8,4274,OK,OK,OK
2026-09-13T17:06:46.217033Z,3000,124.7,4274,OK,OK,OK
2026-09-13T17:06:51.584315Z,3017,124.6,4291,OK,OK,OK
2026-09-13T17:06:57.004936Z,3029,124.6,4291,OK,OK,OK
2026-09-13T17:07:02.386679Z,3000,124.6,4289,OK,OK,OK
2026-09-13T17:07:07.749792Z,2995,124.6,4289,OK,OK,OK
2026-09-13T17:07:13.151929Z,2982,124.5,4289,OK,OK,OK
2026-09-13T17:07:18.540530Z,2997,124.6,4288,OK,OK,OK
2026-09-13T17:07:23.921061Z,3065,124.6,4288,OK,OK,OK
2026-09-13T17:07:29.309770Z,3002,124.6,4273,OK,OK,OK
2026-09-13T17:07:34.684307Z,2974,124.7,4273,OK,OK,OK
2026-09-13T17:07:40.050085Z,2986,124.9,4273,OK,OK,OK
2026-09-13T17:07:45.423680Z,2989,124.6,4252,OK,OK,OK
2026-09-13T17:07:50.844055Z,2982,124.8,4252,OK,OK,OK
2026-09-13T17:07:56.276806Z,2987,124.9,4238,OK,OK,OK
2026-09-13T17:08:01.665895Z,2992,124.9,4238,OK,OK,OK
2026-09-13T17:08:07.031617Z,2987,124.9,4216,OK,OK,OK
2026-09-13T17:08:12.420011Z,2985,124.9,4216,OK,OK,OK
2026-09-13T17:08:17.801983Z,2983,124.9,4216,OK,OK,OK
2026-09-13T17:08:23.165782Z,3000,124.9,4197,OK,OK,OK
2026-09-13T17:08:28.539187Z,2997,124.9,4197,OK,OK,OK
2026-09-13T17:08:33.953404Z,2994,124.9,4186,OK,OK,OK
2026-09-13T17:08:39.351435Z,2977,125.0,4186,OK,OK,OK
2026-09-13T17:08:44.726609Z,2980,124.9,4186,OK,OK,OK
2026-09-13T17:08:50.140950Z,2975,124.9,4184,OK,OK,OK
2026-09-13T17:08:55.531711Z,3215,125.1,4184,OK,OK,OK
2026-09-13T17:09:00.902663Z,3650,125.3,4207,OK,OK,OK
2026-09-13T17:09:06.286444Z,3782,125.3,4207,OK,OK,OK
2026-09-13T17:09:11.665355Z,3246,124.9,4225,OK,OK,OK
2026-09-13T17:09:17.062590Z,3203,125.0,4225,OK,OK,OK
2026-09-13T17:09:22.434597Z,3230,125.0,4225,OK,OK,OK
2026-09-13T17:09:27.820134Z,3220,125.0,4252,OK,OK,OK
2026-09-13T17:09:33.204649Z,3215,125.0,4252,OK,OK,OK
2026-09-13T17:09:38.569031Z,3228,125.1,4263,OK,OK,OK
2026-09-13T17:09:43.947551Z,3208,125.0,4263,OK,OK,OK
2026-09-13T17:09:49.334328Z,3231,124.9,4263,OK,OK,OK
2026-09-13T17:09:54.748819Z,3243,124.9,4266,OK,OK,OK
2026-09-13T17:10:00.166354Z,3237,125.0,4266,OK,OK,OK
2026-09-13T17:10:05.565496Z,3208,125.1,4264,OK,OK,OK
2026-09-13T17:10:10.962160Z,3238,125.0,4264,OK,OK,OK
2026-09-13T17:10:16.345387Z,3210,125.0,4264,OK,OK,OK
2026-09-13T17:10:21.718370Z,3223,125.0,4259,OK,OK,OK
2026-09-13T17:10:27.105782Z,3221,125.0,4259,OK,OK,OK
2026-09-13T17:10:32.491544Z,3208,124.9,4254,OK,OK,OK
2026-09-13T17:10:37.878138Z,3224,125.0,4254,OK,OK,OK
2026-09-13T17:10:43.264737Z,3236,124.9,4254,OK,OK,OK
2026-09-13T17:10:48.652527Z,3225,124.9,4254,OK,OK,OK
2026-09-13T17:10:54.017035Z,3212,125.1,4254,OK,OK,OK
2026-09-13T17:10:59.418752Z,3212,125.0,4261,OK,OK,OK
2026-09-13T17:11:04.842631Z,3192,125.1,4261,OK,OK,OK
2026-09-13T17:11:10.240881Z,3194,125.1,4273,OK,OK,OK
2026-09-13T17:11:15.638375Z,3212,125.1,4273,OK,OK,OK
2026-09-13T17:11:21.011332Z,3211,125.1,4273,OK,OK,OK
2026-09-13T17:11:26.389482Z,3202,125.1,4277,OK,OK,OK
2026-09-13T17:11:31.762198Z,3243,125.0,4277,OK,OK,OK
2026-09-13T17:11:37.140299Z,3204,125.1,4290,OK,OK,OK
2026-09-13T17:11:42.546742Z,3228,125.1,4290,OK,OK,OK
2026-09-13T17:11:47.925795Z,3214,125.1,4290,OK,OK,OK
2026-09-13T17:11:53.326732Z,3227,125.1,4295,OK,OK,OK
2026-09-13T17:11:58.793104Z,3198,125.0,4295,OK,OK,OK
2026-09-13T17:12:04.195866Z,3223,125.1,4301,OK,OK,OK
2026-09-13T17:12:09.566280Z,3273,125.1,4301,OK,OK,OK
2026-09-13T17:12:14.924107Z,3224,125.4,4303,OK,OK,OK
2026-09-13T17:12:20.316847Z,3194,125.4,4303,OK,OK,OK
2026-09-13T17:12:25.708455Z,3222,125.4,4303,OK,OK,OK
2026-09-13T17:12:31.076182Z,3268,125.3,4301,OK,OK,OK
2026-09-13T17:12:36.453992Z,3223,125.4,4301,OK,OK,OK
2026-09-13T17:12:41.851565Z,3205,125.3,4287,OK,OK,OK
2026-09-13T17:12:47.243944Z,3257,125.3,4287,OK,OK,OK
