Timestamp (UTC),Inverter Serial,Port Number,DC Power (W),DC Voltage (V),Daily Energy (Wh)
2026-09-06T04:00:00Z,1420b03145c2,1,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b03145c2,3,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b03145c2,4,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314618,1,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314618,2,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314618,3,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314618,4,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b03146bb,1,0.0,0.0,1656.0
2026-09-06T04:00:00Z,1420b03146bb,2,0.0,0.0,1462.0
2026-09-06T04:00:00Z,1420b03146bb,3,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b03146bb,4,0.0,0.0,1650.0
2026-09-06T04:00:00Z,1420b03146fc,1,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b03146fc,2,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b03146fc,3,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b03146fc,4,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314cf5,1,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314cf5,2,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314cf5,3,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314cf5,4,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314d19,1,0.0,0.0,1673.0
2026-09-06T04:00:00Z,1420b0314d19,2,0.0,0.0,1595.0
2026-09-06T04:00:00Z,1420b0314d19,3,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314d19,4,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314d25,1,0.0,0.0,1565.0
2026-09-06T04:00:00Z,1420b0314d25,2,0.0,0.0,1541.0
2026-09-06T04:00:00Z,1420b0314d25,3,0.0,0.0,1578.0
2026-09-06T04:00:00Z,1420b0314d25,4,0.0,0.0,1573.0
2026-09-06T04:00:00Z,1420b0314df9,1,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314df9,2,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314df9,3,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314df9,4,0.0,0.0,0.0
2026-09-06T04:00:00Z,1420b0314f85,1,0.0,0.0,1300.0
2026-09-06T04:00:00Z,1420b0314f85,2,0.0,0.0,1288.0
