Timestamp (UTC),Net Grid Power (W),Phase A Voltage (V)
2026-07-19T04:00:00.165291Z,31709,245.1
2026-07-19T04:00:01.237951Z,31846,244.7
2026-07-19T04:00:02.336310Z,31393,244.8
2026-07-19T04:00:03.423974Z,31542,244.8
2026-07-19T04:00:04.496343Z,31715,244.9
2026-07-19T04:00:05.596870Z,31431,244.9
2026-07-19T04:00:06.698789Z,31388,244.9
2026-07-19T04:00:07.782687Z,31312,245.0
2026-07-19T04:00:08.874232Z,31442,245.1
2026-07-19T04:00:09.975932Z,31448,245.1
2026-07-19T04:00:11.073545Z,31454,245.1
2026-07-19T04:00:12.163764Z,31757,245.1
2026-07-19T04:00:13.261313Z,31460,245.0
2026-07-19T04:00:14.363756Z,31585,245.0
2026-07-19T04:00:15.467647Z,31910,245.0
2026-07-19T04:00:16.556124Z,31747,245.0
2026-07-19T04:00:17.653073Z,31452,245.1
2026-07-19T04:00:18.740435Z,31458,245.1
2026-07-19T04:00:19.830863Z,31458,245.0
2026-07-19T04:00:20.928240Z,31464,245.0
2026-07-19T04:00:22.018222Z,31537,245.1
2026-07-19T04:00:23.115279Z,31425,245.1
2026-07-19T04:00:24.202879Z,31636,245.0
2026-07-19T04:00:25.290552Z,43828,243.8
2026-07-19T04:00:26.393090Z,45077,244.5
2026-07-19T04:00:27.480871Z,50145,244.1
2026-07-19T04:00:28.579514Z,49506,244.1
2026-07-19T04:00:29.665397Z,48599,244.3
2026-07-19T04:00:30.802707Z,48629,244.3
2026-07-19T04:00:31.901191Z,48689,244.1
2026-07-19T04:00:32.986456Z,48756,244.1
2026-07-19T04:00:34.072550Z,48901,244.1
2026-07-19T04:00:35.159810Z,49042,244.1
2026-07-19T04:00:36.248216Z,49088,244.1
2026-07-19T04:00:37.348906Z,49162,244.1
2026-07-19T04:00:38.436140Z,49299,244.1
2026-07-19T04:00:39.554647Z,49301,244.1
2026-07-19T04:00:40.654377Z,49189,244.1
2026-07-19T04:00:41.741156Z,49357,244.1
2026-07-19T04:00:42.827545Z,49502,244.0
2026-07-19T04:00:43.930574Z,49487,244.1
2026-07-19T04:00:45.032059Z,49530,244.0
2026-07-19T04:00:46.132128Z,49550,244.0
2026-07-19T04:00:47.221375Z,49475,244.0
2026-07-19T04:00:48.323713Z,49448,244.1
2026-07-19T04:00:49.424284Z,49582,244.1
2026-07-19T04:00:50.507911Z,49477,244.1
2026-07-19T04:00:51.593537Z,49628,244.1
2026-07-19T04:00:52.667716Z,49498,244.1
2026-07-19T04:00:53.767771Z,49647,244.1
2026-07-19T04:00:54.851145Z,49731,244.1
2026-07-19T04:00:55.922536Z,49740,244.0
